#{"t_start": 1530088248.4430509, "gym_version": "0.9.7", "env_id": 1}
r,l,t
-8.927194,10,3.929472
-20.574405,10,4.229662
-54.577587,10,4.403772
-10.848589,10,7.077455
-81.904132,10,9.941257
-12.573905,10,10.040338
-30.011407,10,10.080345
-26.268238,10,10.547638
-26.469345,10,13.538542
-32.783507,10,14.152927
-12.593572,10,17.09676
-23.686532,10,17.791198
-11.073541,10,21.374454
-12.074696,10,21.729986
-37.924616,10,21.850061
-11.449695,10,22.089212
-19.178149,10,25.982662
-10.595653,10,26.110742
-17.053624,10,26.281851
-11.403744,10,31.194944
-9.253796,10,35.233485
-10.862313,10,35.375575
-14.329232,10,35.4146
-72.455267,10,35.981957
-48.924664,10,36.123045
-8.842364,10,40.298693
-12.427308,10,40.750145
-9.101504,10,45.379043
-9.824674,10,45.574167
-22.39405,10,45.729283
-44.727562,10,50.824471
-11.718427,10,51.318782
-16.673579,10,51.581948
-25.871737,10,56.5901
-12.811196,10,57.301567
-7.07366,10,62.726963
-25.010667,10,68.537621
-40.068327,10,68.720736
-13.520027,10,69.168016
-9.541647,10,69.580277
-12.734374,10,75.525019
-51.74136,10,81.857005
-51.614676,10,82.054128
-13.4527,10,82.292279
-17.172435,10,83.013732
-11.013216,10,88.776359
-23.76178,10,89.151596
-11.859026,10,89.566857
-11.585569,10,96.746376
-22.680713,10,96.95851
-17.196246,10,97.429806
-18.256755,10,104.665362
-13.315102,10,111.887907
-7.029635,10,112.577341
-80.514238,10,112.617366
-17.306215,10,120.459043
-23.355365,10,120.695174
-10.444587,10,120.733197
-12.722621,10,128.193894
-12.19242,10,128.968064
-18.576217,10,137.963726
-9.76731,10,146.163887
-26.909176,10,146.504101
-26.858654,10,154.804835
5.215198,7,173.152385
-14.564557,10,184.333422
-12.585128,10,192.888807
-15.293443,10,193.306071
-22.017111,10,193.345601
-11.327926,10,202.659481
-25.271259,10,202.96766
-27.768334,10,203.316885
-18.506974,10,214.16934
-13.854383,10,223.909029
-22.191821,10,224.232251
-18.901293,10,225.281972
-28.843133,10,235.300872
-26.471898,10,235.683117
-14.827967,10,236.012344
-15.156676,10,236.337566
-16.783365,10,237.067085
-20.307111,10,237.395293
-8.826469,10,247.917521
-10.355504,10,248.595002
-25.81542,10,259.400409
-16.435021,10,259.439451
-8.094475,10,260.209965
-7.828563,10,260.633272
-16.62763,10,272.130152
-17.43835,10,283.508984
-11.92069,10,283.870216
-13.098907,10,283.910243
-13.786807,10,295.057901
-35.780792,10,297.702718
-20.64504,10,308.643233
-10.985699,10,309.813053
-32.393733,10,310.605581
-28.869729,10,322.676872
-12.839207,10,334.939313
-9.629718,10,335.497329
-92.180957,10,336.316892
-16.381843,10,348.074969
-31.022325,10,348.112995
-11.871097,10,348.153023
-15.207538,10,349.738111
-49.053339,10,362.539922
-17.041481,10,363.447528
2.232561,3,363.47855
-21.297714,10,376.298372
-22.86813,10,390.319769
-47.578322,10,390.903171
-9.08927,10,405.392123
-10.986487,10,405.820416
1.708612,3,418.601197
-24.006245,10,419.475797
-7.621956,10,419.557853
-14.715891,10,420.093221
-74.548703,10,420.139252
-14.09106,10,433.0191
-32.000685,10,447.810573
-11.953474,10,448.259861
-11.176305,10,463.272575
-11.504157,10,463.39264
4.345125,7,478.140769
-20.952339,10,479.154466
-21.823928,10,492.779825
-17.189168,10,494.750195
-15.753807,10,509.963759
-9.927453,10,511.042521
-7.517559,10,524.956364
-11.662671,10,524.997398
-10.844999,10,525.527751
-11.18985,10,526.018113
-9.500417,10,542.416775
-25.781422,10,542.497833
4.819143,10,543.533564
-30.852107,10,560.443507
-16.00216,10,560.988891
-17.469531,10,578.619343
-22.094188,10,579.135724
-23.262471,10,594.902841
-8.771456,10,594.94287
-14.168536,10,597.155433
-14.252654,10,613.09871
-20.10977,10,614.676807
-13.651323,10,615.817613
-12.732965,10,632.670514
-29.884856,10,632.758577
-13.773777,10,633.420568
-46.193474,10,649.542057
2.565541,5,651.763613
-37.287882,10,669.237938
-16.673815,10,669.787327
-32.390253,10,688.351439
-30.99724,10,688.966898
-39.095459,10,690.113682
-14.518108,10,706.217054
-23.715592,10,708.620753
-13.73407,10,725.424619
-15.071301,10,725.463647
-19.440908,10,726.122113
-10.259617,10,726.780576
-67.315519,10,746.19829
-13.855714,10,746.860758
-20.061797,10,765.420867
-12.586384,10,766.61571
-22.386362,10,785.797255
-8.957365,10,786.999105
-31.289128,10,788.979502
-10.850924,10,808.287204
-11.301987,10,808.980702
-13.279232,10,831.300746
-6.817156,10,848.454076
-20.022154,10,849.078526
-33.88551,10,849.69797
-45.709547,10,869.401134
-50.873502,10,871.292493
-20.292873,10,890.80652
-12.884249,10,891.448983
-10.703554,10,911.611475
-6.951361,10,912.987465
-42.48861,10,931.832011
-12.338731,10,932.494486
-17.236675,10,933.160988
-32.725386,10,933.83545
-27.490209,10,935.927956
-9.507695,10,935.970986
-22.527785,10,956.19152
-18.914776,10,956.868006
-49.492147,10,976.494116
-10.75647,10,977.174604
-25.17889,10,977.892119
-10.897655,10,977.934149
-13.086453,10,1000.501936
-20.89263,10,1000.540983
-10.75218,10,1023.116191
-16.749206,10,1045.453249
-39.127427,10,1069.96462
-76.043414,10,1071.465699
-15.370251,10,1071.585785
-13.884521,10,1092.502821
-8.714612,10,1094.103972
4.369437,7,1115.237199
-32.564853,10,1118.200329
-32.713336,10,1142.427743
-12.661297,10,1143.89982
-57.772559,10,1144.771446
-27.978022,10,1166.176853
-16.451581,10,1166.336931
-12.853652,10,1167.122495
-69.762854,10,1167.865028
-29.422682,10,1168.610565
-11.065349,10,1190.026979
-34.357487,10,1191.530041
-20.906393,10,1216.317428
-52.16621,10,1218.638097
-12.634025,10,1219.44968
-15.154476,10,1220.248255
-14.888728,10,1269.838965
-19.493913,10,1269.878994
-14.289882,10,1271.420103
1.803582,3,1297.495846
-33.984782,10,1325.186751
-10.290874,10,1352.767593
-26.963622,10,1354.401752
-19.639647,10,1378.579147
-12.397818,10,1379.390732
-15.162148,10,1380.294364
-18.364199,10,1406.274059
-25.700946,10,1407.120665
-22.465571,10,1407.926249
-12.30759,10,1408.726801
-23.434498,10,1410.377989
-10.216358,10,1411.182585
-22.299842,10,1434.329206
-15.741061,10,1435.983394
-9.075485,10,1436.797981
-32.893495,10,1461.4267
-11.529313,10,1461.665085
-27.089116,10,1486.461894
-25.587797,10,1486.541969
-25.130266,10,1512.177211
-16.372692,10,1541.566336
-26.729973,10,1567.20977
2.338478,3,1567.240792
-27.95293,10,1570.60523
-10.26573,10,1595.977448
-10.268194,10,1596.977167
-11.202987,10,1624.547001
-10.447484,10,1649.169685
-18.700219,10,1650.143385
-49.112326,10,1651.896646
-32.601323,10,1652.754263
-12.250756,10,1677.312914
-18.52085,10,1678.217227
-11.219195,10,1679.98757
2.718347,4,1708.130816
-24.847786,10,1710.827752
-17.588037,10,1736.902497
-14.805656,10,1737.789131
-14.589019,10,1738.667747
-15.687451,10,1740.462036
-11.577138,10,1740.502065
-17.334338,10,1740.541114
-16.141509,10,1769.826162
-19.795034,10,1771.635445
-20.510502,10,1772.522083
-14.71707,10,1797.941354
-16.484343,10,1798.874025
-15.60415,10,1825.127913
-22.200683,10,1827.910898
-11.422863,10,1829.784243
-34.065245,10,1855.621842
-21.228479,10,1857.568216
-29.166568,10,1888.029112
3.892432,6,1889.857426
-46.153147,10,1891.72779
-12.254491,10,1918.509052
-10.286976,10,1918.54805
-20.900167,10,1982.426085
-42.173197,10,1983.367794
-22.040425,10,2012.402633
-24.334503,10,2046.931454
-23.321456,10,2047.887141
-14.156535,10,2047.965197
-23.45389,10,2049.002942
-13.455175,10,2049.041971
-19.66549,10,2079.202651
-25.308441,10,2081.134039
-11.003458,10,2081.175085
-22.489953,10,2110.469151
-16.508144,10,2114.445985
-12.471998,10,2179.912043
-17.820094,10,2180.929775
-9.752366,10,2182.938219
-14.450477,10,2211.276589
-15.346495,10,2213.264019
-27.997927,10,2243.751934
-16.417257,10,2245.838434
-10.033532,10,2246.840153
-8.437451,10,2277.458162
-20.570414,10,2279.68888
-28.489463,10,2280.702609
-14.332253,10,2281.717339
-30.975244,10,2310.27188
-42.866062,10,2311.291598
-18.694707,10,2312.306348
-15.241944,10,2314.330782
-21.138754,10,2314.36981
-124.729204,10,2314.409839
-10.713116,10,2315.462205
-16.321113,10,2316.477934
-32.468831,10,2378.592932
-15.610551,10,2381.726262
-14.35629,10,2382.798018
-11.454053,10,2383.907811
-36.355647,10,2416.398713
-26.730137,10,2417.512456
-12.945728,10,2419.62598
-20.230189,10,2450.281998
-15.254961,10,2452.569358
-68.098147,10,2484.603369
-16.573319,10,2484.641417
-17.282489,10,2484.723455
-38.835659,10,2522.143243
-17.281381,10,2523.309082
-37.501334,10,2525.469635
-24.330929,10,2559.062468
-10.981896,10,2593.749401
-8.315084,10,2594.871207
-19.33727,10,2596.148126
-15.440798,10,2629.740273
-30.217622,10,2666.904988
-15.468798,10,2669.180624
-15.394486,10,2707.915468
-22.977904,10,2709.056311
-38.716591,10,2710.279177
-14.684586,10,2744.066453
-17.993718,10,2744.107484
-10.689277,10,2745.215279
-33.265984,10,2745.255308
-9.496457,10,2745.296338
-29.500227,10,2777.981249
-13.291972,10,2779.190115
-21.489494,10,2816.445045
-10.960695,10,2817.593853
-14.856747,10,2817.628879
-18.090152,10,2819.949548
-23.328425,10,2821.127394
-12.063066,10,2855.006748
0.957945,1,2856.154591
-37.914217,10,2858.509266
-12.516147,10,2863.118579
-9.066077,10,2900.648557
-19.161804,10,2901.810391
-14.88377,10,2938.460756
-26.312802,10,2939.669605
-26.016607,10,2939.70765
-8.859681,10,2942.060325
-16.801201,10,2943.270194
-12.429003,10,2978.700662
-25.171655,10,2978.737689
-13.485845,10,2979.914535
-12.632646,10,2981.155427
0.951795,1,3020.086412
-14.588158,10,3020.09742
-12.976382,10,3061.245998
-64.977386,10,3062.432872
-14.497979,10,3064.846586
-17.319598,10,3100.130949
-12.5966,10,3101.552972
-13.210026,10,3138.965865
-10.998989,10,3141.460659
-21.419711,10,3177.910859
-20.5514,10,3217.599389
-10.781888,10,3259.451494
-18.719621,10,3260.678356
-8.899152,10,3263.291251
-13.461829,10,3298.988894
-16.486499,10,3301.500777
-33.695841,10,3301.536803
-41.718392,10,3302.826731
-22.133672,10,3341.218075
-9.616298,10,3380.436377
-9.872327,10,3381.669261
-17.891802,10,3421.13463
-66.704624,10,3423.647438
-10.166787,10,3461.629933
-22.548177,10,3502.313281
-9.967353,10,3540.933041
-13.030281,10,3543.502888
-16.519666,10,3543.658
-23.857793,10,3581.513211
-21.241849,10,3582.813751
-11.704459,10,3584.10468
-21.392323,10,3584.141706
-20.473819,10,3587.998478
-22.850404,10,3588.036505
-12.828955,10,3588.073269
-19.695176,10,3625.728336
-23.30174,10,3627.224411
-20.779487,10,3627.296463
-15.846843,10,3627.33249
-16.98526,10,3664.911502
-28.54499,10,3664.948529
-11.745536,10,3668.958411
-19.975566,10,3668.995438
-23.295556,10,3670.29237
-32.153004,10,3753.707331
-16.339018,10,3756.338223
6.845019,10,3757.688193
-14.772716,10,3794.582714
-14.593905,10,3797.270645
-16.502792,10,3797.30748
-26.575826,10,3799.993412
-13.331438,10,3800.029438
-23.76434,10,3841.058012
-35.601243,10,3843.725913
-23.585081,10,3849.080763
-24.134971,10,3892.088678
-19.570541,10,3893.433665
-10.937125,10,3894.782614
-11.191153,10,3935.283791
-41.680054,10,3935.319817
-51.527584,10,3938.018757
-17.663511,10,3977.964471
-21.488363,10,3980.69143
-9.712164,10,3983.482437
-11.477065,10,4027.855333
-34.117151,10,4027.929387
-27.679988,10,4030.666354
-15.347356,10,4079.075152
-15.615409,10,4079.112178
-26.72349,10,4079.149204
-16.737774,10,4080.521191
-16.326864,10,4120.633025
-11.507373,10,4122.017019
-14.509359,10,4123.403016
-17.716073,10,4124.934116
-11.356502,10,4126.355138
-19.913575,10,4167.592781
-26.184645,10,4171.901879
-10.245265,10,4216.055311
-48.579633,10,4217.455319
-10.000466,10,4260.845508
-24.14133,10,4265.126585
-17.085833,10,4266.515583
-22.429908,10,4266.552924
-35.833488,10,4316.619931
-8.599515,10,4359.230543
-16.809474,10,4359.268571
3.87382,6,4363.524664
-25.6956,10,4363.562657
-15.402057,10,4366.44573
-8.296199,10,4410.775612
-11.372751,10,4454.020681
-15.026972,10,4501.481799
-18.283571,10,4501.518824
-10.262417,10,4502.984878
-13.344087,10,4503.022905
-26.219225,10,4503.059932
-13.120276,10,4543.092709
-25.461892,10,4549.073879
-41.520363,10,4549.111908
-25.100359,10,4591.00202
-14.277321,10,4593.963149
-27.520858,10,4642.080323
-15.315866,10,4643.562388
-10.012202,10,4646.543551
-42.800782,10,4648.062622
-27.59103,10,4651.008761
-38.490403,10,4690.335027
-17.413421,10,4693.356199
-11.935606,10,4696.430391
-21.057998,10,4699.432549
-32.733365,10,4797.741216
-38.585051,10,4803.863638
-15.701326,10,4848.727867
-9.984465,10,4850.257967
-13.917544,10,4851.869125
-24.952282,10,4851.907152
-14.49919,10,4851.944178
-14.963591,10,4853.44926
-8.682143,10,4854.957345
-21.229939,10,4898.336546
-14.162706,10,4899.84363
-31.144504,10,4899.881637
