EpRewMean,EpLenMean,KL,TotalRewardMean,EpRewSEM,EVAfter,EVBefore
-8178.601692047762,110.0,0.037930146,-8178.601692047762,1270.5776496972685,nan,0.00012767099533295134
-2922.777692740998,93.70370370370371,nan,-11101.379384788761,507.44540990547296,nan,nan
-13763.610922109894,110.0,nan,-24864.990306898653,3460.9726242708457,nan,nan
-17388.34741917347,110.0,nan,-42253.337726072124,3837.1273700714987,nan,nan
-15734.118828917997,110.0,nan,-57987.45655499012,3010.8914052146324,nan,nan
-15791.771677300414,105.875,nan,-73779.22823229054,2905.776919348479,nan,nan
-14350.821898071736,105.875,nan,-88130.05013036227,2617.230769006515,nan,nan
-16095.7973505093,110.0,nan,-104225.84748087157,2240.5022757940783,nan,nan
-15224.476341851449,110.0,nan,-119450.32382272302,3640.3039092623717,nan,nan
-16569.100052000686,105.875,nan,-136019.4238747237,3318.4553385227064,nan,nan
-17480.72807737623,110.0,nan,-153500.15195209993,4472.741242058195,nan,nan
-12222.380436053058,110.0,nan,-165722.532388153,1489.551969665335,nan,nan
-23400.700550047375,105.875,nan,-189123.23293820035,8275.085778952229,nan,nan
-14695.403903977873,110.0,nan,-203818.63684217824,2021.0073742637094,nan,nan
-15412.272441913528,105.875,nan,-219230.90928409176,2019.1763264110878,nan,nan
-14641.894747016102,110.0,nan,-233872.80403110787,2968.338210637969,nan,nan
-11666.14984147075,110.0,nan,-245538.95387257863,1485.6186623658912,nan,nan
-15471.50703577072,110.0,nan,-261010.46090834934,3310.511230610365,nan,nan
-16262.699797667427,105.875,nan,-277273.16070601676,3172.042332173088,nan,nan
-23564.738227078353,110.0,nan,-300837.8989330951,5097.987401937899,nan,nan
-10675.751286441213,110.0,nan,-311513.6502195363,1740.2435697772974,nan,nan
-9954.809403145924,110.0,nan,-321468.45962268225,1801.5092617662908,nan,nan
-15517.854550411745,110.0,nan,-336986.314173094,3658.3226917156294,nan,nan
-15754.409447947684,110.0,nan,-352740.7236210417,4383.640628699131,nan,nan
-19273.68037795834,110.0,nan,-372014.40399900003,3337.45393309833,nan,nan
-12078.390341071938,110.0,nan,-384092.79434007197,1891.998159778126,nan,nan
-11638.349243101822,105.875,nan,-395731.1435831738,1971.1843829783306,nan,nan
-12100.636523391688,105.875,nan,-407831.7801065655,2176.758738881961,nan,nan
-12984.895770488327,110.0,nan,-420816.6758770538,1831.379396992616,nan,nan
-19064.52031790453,110.0,nan,-439881.19619495835,4075.729463881917,nan,nan
-11796.142915418424,105.875,nan,-451677.3391103768,2855.277177626602,nan,nan
-8912.58548148937,105.875,nan,-460589.92459186615,1850.4629287009332,nan,nan
-16449.42455984325,110.0,nan,-477039.3491517094,3106.917345979429,nan,nan
-16690.263700741456,110.0,nan,-493729.61285245087,3337.541043295297,nan,nan
-13694.068967335574,105.875,nan,-507423.68181978643,1858.416496379608,nan,nan
-18104.931022393383,110.0,nan,-525528.6128421798,5382.754890511647,nan,nan
-14948.297574568009,110.0,nan,-540476.9104167478,1938.8777186729567,nan,nan
-12547.967343453836,105.875,nan,-553024.8777602016,1434.8434934894378,nan,nan
-16306.913854693616,105.875,nan,-569331.7916148952,4007.0756976895454,nan,nan
-12302.599985771281,110.0,nan,-581634.3916006665,1487.1814656301124,nan,nan
-17181.550152624655,110.0,nan,-598815.9417532911,2824.908178522869,nan,nan
-13588.80935446669,110.0,nan,-612404.7511077578,2220.089818390068,nan,nan
-12160.861641143016,110.0,nan,-624565.6127489008,1498.0071027376334,nan,nan
-18080.85282405705,110.0,nan,-642646.4655729579,3584.8468313605404,nan,nan
-14020.375962062566,110.0,nan,-656666.8415350205,1381.3528795068228,nan,nan
-11153.536262325884,105.875,nan,-667820.3777973463,2494.349895862033,nan,nan
-14280.517401530777,110.0,nan,-682100.8951988771,2479.5640476816343,nan,nan
-15202.84261334882,110.0,nan,-697303.7378122259,3577.4137542521644,nan,nan
-12707.84797334931,110.0,nan,-710011.5857855752,1906.0952093822712,nan,nan
-17152.405118674174,110.0,nan,-727163.9909042494,6666.005383476664,nan,nan
-13616.85535128173,105.875,nan,-740780.8462555311,2780.351504589292,nan,nan
-29485.886696520767,110.0,nan,-770266.7329520518,9732.299691944147,nan,nan
-11817.091327484444,110.0,nan,-782083.8242795363,2074.1528835830986,nan,nan
-15664.843407639799,110.0,nan,-797748.667687176,3826.147284838601,nan,nan
-13644.52860614184,110.0,nan,-811393.1962933178,2323.317737525673,nan,nan
-12019.317119297557,102.08,nan,-823412.5134126154,2142.8507066636644,nan,nan
-19336.177483764393,110.0,nan,-842748.6908963798,4063.5924276630717,nan,nan
-19159.223924519483,110.0,nan,-861907.9148208993,3883.7279732569905,nan,nan
-14419.735620049416,105.875,nan,-876327.6504409487,3168.7153395805126,nan,nan
-17910.3740853399,110.0,nan,-894238.0245262886,4177.601936573022,nan,nan
-16104.151736044889,110.0,nan,-910342.1762623335,4483.357875073217,nan,nan
-15792.23127109488,110.0,nan,-926134.4075334284,3500.619604674085,nan,nan
-13706.33236659831,110.0,nan,-939840.7399000267,2235.399042230516,nan,nan
-12610.885827448406,110.0,nan,-952451.6257274752,2068.499397674144,nan,nan
-13643.693790007788,110.0,nan,-966095.3195174829,2590.1111324142935,nan,nan
